Time,Angle
30.548,270.27
30.548,270.38
30.548,270.50
30.607,273.78
30.628,273.89
30.629,274.01
30.630,274.13
30.632,274.25
30.632,274.37
30.632,274.49
30.632,274.61
30.632,274.73
30.634,277.33
30.636,277.51
30.638,277.63
30.639,277.76
30.643,277.88
30.643,278.00
30.643,278.12
30.643,278.24
30.645,279.46
30.647,279.58
30.648,279.71
30.652,279.83
30.653,279.95
30.655,280.07
30.658,280.19
30.659,280.32
30.663,280.44
30.664,280.56
30.664,280.68
30.667,280.80
30.671,280.93
30.672,281.05
30.675,281.17
30.675,281.29
30.677,281.48
30.680,281.60
30.680,281.72
30.683,281.84
30.684,281.96
30.687,282.09
30.691,282.21
30.740,282.33
30.741,282.45
30.742,282.58
30.742,282.70
30.743,282.82
30.745,282.94
30.751,283.07
30.753,283.19
30.753,283.31
30.753,283.43
30.753,283.56
30.753,283.68
30.755,286.22
30.759,286.34
30.762,286.47
30.762,286.59
30.763,286.71
30.832,286.84
30.834,286.96
30.834,287.09
30.834,287.21
30.834,287.34
30.839,287.52
30.841,287.65
30.841,287.71
30.841,287.84
30.841,287.96
30.846,291.78
30.850,291.90
30.851,292.03
30.851,292.15
30.853,292.28
30.854,292.40
30.857,292.53
30.925,292.65
30.925,292.78
30.925,292.90
30.934,293.03
30.937,293.15
30.937,293.28
30.937,293.40
30.937,293.53
30.937,293.65
31.014,296.98
31.014,297.11
31.015,297.23
31.017,297.36
31.017,297.49
31.017,297.62
31.017,297.75
31.017,297.87
31.018,302.80
31.019,302.93
31.020,303.06
31.024,303.19
31.028,303.32
31.028,303.44
31.031,303.57
31.031,303.70
31.033,303.83
31.034,303.96
31.039,304.09
31.041,304.21
31.041,304.34
31.043,304.47
31.044,304.60
31.046,304.79
31.050,304.92
31.051,305.05
31.055,305.18
31.056,305.31
31.058,305.44
31.060,305.57
31.064,305.70
31.064,305.83
31.065,305.96
31.068,306.09
31.069,306.22
31.073,306.35
31.074,306.48
31.078,306.61
31.078,306.74
31.080,306.87
31.082,307.00
31.083,307.13
31.086,307.26
31.090,307.39
31.090,307.52
31.093,307.65
31.107,307.78
31.108,307.91
31.109,308.04
31.123,308.16
31.125,308.29
31.139,308.42
31.141,308.55
31.141,308.68
31.141,308.81
31.141,308.94
31.159,310.18
31.160,310.31
31.161,310.44
31.163,310.57
31.163,310.70
31.163,310.83
31.163,310.96
31.163,311.09
31.165,312.39
31.167,312.52
31.168,312.66
31.171,312.79
31.174,312.92
31.174,313.05
31.175,313.18
31.178,313.31
31.180,313.44
31.183,313.57
31.185,313.70
31.188,313.83
31.189,313.96
31.191,314.09
31.193,314.23
31.193,314.36
31.199,314.49
31.199,314.62
31.200,314.75
31.204,314.88
31.206,315.01
31.207,315.14
31.213,315.27
31.215,315.40
31.215,315.53
31.216,315.66
31.218,315.79
31.221,315.92
31.223,316.05
31.223,316.19
31.225,316.32
31.228,316.51
31.229,316.65
31.232,316.78
31.234,316.91
31.236,317.04
31.236,317.17
31.239,317.31
31.240,317.44
31.243,317.57
31.245,317.70
31.247,317.84
31.250,317.97
31.251,318.10
31.255,318.23
31.258,318.37
31.259,318.50
31.261,318.63
31.263,318.76
31.263,318.90
31.267,319.03
31.268,319.16
31.270,319.29
31.272,319.42
31.275,319.56
31.278,319.69
31.279,319.82
31.279,319.95
31.282,320.08
31.283,320.22
31.286,320.35
31.290,320.48
31.292,320.61
31.293,320.75
31.294,320.88
31.297,321.01
31.299,321.21
31.300,321.34
31.303,321.47
31.307,321.61
31.307,321.74
31.308,321.87
31.310,322.00
31.312,322.14
31.314,322.27
31.318,322.40
31.319,322.54
31.319,322.67
31.323,322.80
31.323,322.93
31.328,323.07
31.328,323.20
31.332,323.33
31.333,323.47
31.335,323.60
31.338,323.73
31.340,323.87
31.341,324.00
31.353,324.13
31.354,324.27
31.354,324.40
31.354,324.53
31.355,324.67
31.358,324.80
31.359,324.93
31.360,325.07
31.364,325.20
31.366,325.33
31.366,325.47
31.366,325.60
31.368,325.73
31.369,325.87
31.371,326.07
31.375,326.20
31.375,326.34
31.376,326.47
31.379,326.61
31.380,326.74
31.383,326.87
31.388,327.01
31.389,327.14
31.390,327.28
31.393,327.41
31.393,327.55
31.396,327.68
31.398,327.82
31.398,327.96
31.405,328.09
31.405,328.22
31.407,328.36
31.408,328.49
31.411,328.63
31.412,328.76
31.415,328.90
31.415,329.03
31.417,329.17
31.419,329.30
31.443,329.44
31.444,329.57
31.447,329.71
31.448,329.84
31.519,329.97
31.519,330.11
31.519,330.24
31.519,330.37
31.519,330.51
31.522,331.52
31.522,331.66
31.524,331.79
31.636,331.93
31.700,332.06
31.700,332.20
31.700,332.34
31.700,332.47
31.700,332.61
31.700,344.54
31.703,344.68
31.703,344.81
31.709,344.95
31.710,345.09
31.710,345.23
31.710,345.37
31.710,345.51
31.712,349.66
31.718,349.80
31.718,349.94
31.786,350.08
31.787,350.23
31.789,350.37
31.789,350.51
31.792,350.66
31.792,350.80
31.796,350.95
31.798,351.09
31.798,351.23
31.798,351.38
31.798,351.52
31.802,356.02
31.805,356.16
31.807,356.38
31.807,356.53
31.874,356.67
31.874,356.82
31.874,356.96
31.875,357.11
31.876,357.25
31.882,357.40
31.883,357.55
31.883,357.69
31.883,357.84
31.883,357.99
31.883,358.13
31.962,2.41
31.963,2.56
31.963,2.63
31.963,2.78
31.964,2.93
31.964,3.08
31.964,3.23
31.964,3.38
31.964,3.53
31.964,3.69
31.965,8.30
31.967,8.46
31.968,8.61
31.971,8.77
31.973,8.92
31.973,9.08
31.975,9.23
31.978,9.39
31.979,9.54
31.985,9.70
32.050,9.85
32.050,10.01
32.051,10.17
32.053,10.32
32.053,10.48
32.053,10.63
32.059,10.79
32.061,10.95
32.061,11.10
32.061,11.26
32.061,11.42
32.061,11.57
32.064,16.27
32.068,16.43
32.068,16.59
32.069,16.76
32.072,16.92
32.074,17.08
32.077,17.24
32.081,17.41
32.082,17.57
32.083,17.73
32.083,17.90
32.085,18.06
32.088,18.22
32.089,18.39
32.091,18.55
32.104,18.72
32.105,18.88
32.105,19.04
32.105,19.21
32.106,19.37
32.108,19.54
32.109,19.70
32.110,19.87
32.115,20.03
32.117,20.19
32.117,20.28
32.117,20.44
32.117,20.61
32.118,20.77
32.121,20.94
32.123,21.10
32.125,21.27
32.128,21.43
32.129,21.60
32.131,21.77
32.134,21.93
32.137,22.10
32.137,22.27
32.139,22.44
32.140,22.60
32.144,22.77
32.146,22.94
32.147,23.11
32.151,23.28
32.153,23.45
32.153,23.61
32.155,23.78
32.159,23.95
32.159,24.12
32.160,24.29
32.166,24.46
32.167,24.63
32.168,24.80
32.170,24.97
32.172,25.14
32.174,25.31
32.178,25.48
32.178,25.65
32.180,25.83
32.181,26.00
32.183,26.17
32.185,26.34
32.188,26.51
32.190,26.69
32.190,26.86
32.193,27.03
32.194,27.21
32.198,27.38
32.199,27.56
32.200,27.73
32.203,27.91
32.206,28.08
32.206,28.26
32.210,28.43
32.210,28.61
32.212,28.78
32.215,28.96
32.218,29.13
32.221,29.31
32.222,29.49
32.224,29.66
32.226,29.84
32.226,30.01
32.231,30.19
32.231,30.37
32.234,30.54
32.235,30.72
32.236,30.90
32.240,31.07
32.241,31.25
32.301,31.43
32.301,31.61
32.302,31.79
32.303,31.97
32.304,32.15
32.356,32.33
32.357,32.51
32.520,32.69
32.527,32.87
32.527,33.05
32.527,33.23
32.527,33.41
32.527,33.59
32.608,42.61
32.608,42.80
32.608,42.99
32.609,43.18
32.609,43.38
32.609,43.57
32.609,43.76
32.609,43.95
32.609,70.01
32.611,70.24
32.613,70.46
32.614,70.69
32.621,70.91
32.621,71.14
32.622,71.36
32.622,71.59
32.624,71.82
32.627,72.04
32.629,72.27
32.632,72.50
32.632,72.73
32.633,72.95
32.637,73.18
32.638,73.41
32.642,73.64
32.643,73.87
32.643,74.10
32.645,74.33
32.647,74.56
32.649,74.79
32.652,75.02
32.654,75.25
32.656,75.48
32.658,75.71
32.660,75.95
32.663,76.18
32.663,76.41
32.665,76.65
32.668,76.88
32.671,77.11
32.672,77.35
32.677,77.58
32.679,77.82
32.680,78.05
32.680,78.29
32.683,78.52
32.687,78.76
32.687,79.00
32.688,79.23
32.690,79.47
32.691,79.71
32.695,79.94
32.697,80.18
32.697,80.42
32.699,80.66
32.702,80.89
32.703,81.13
32.706,81.37
32.709,81.61
32.711,81.85
32.713,82.09
32.714,82.33
32.718,82.58
32.719,82.82
32.719,83.06
32.723,83.30
32.727,83.54
32.728,83.79
32.729,84.03
32.731,84.27
32.732,84.52
32.734,84.76
32.740,85.00
32.740,85.25
32.740,85.49
32.743,85.74
32.745,85.98
32.746,86.23
32.762,86.47
32.764,86.72
32.765,86.96
32.773,87.21
32.773,87.46
32.773,87.71
32.773,87.96
32.775,89.21
32.782,89.46
32.784,89.71
32.785,89.83
32.787,90.08
32.787,90.33
32.787,90.58
32.787,90.83
32.788,91.09
32.790,91.34
32.790,91.59
32.790,91.84
32.796,92.10
32.797,92.35
32.797,92.60
32.798,92.86
32.801,93.11
32.803,93.37
32.805,93.62
32.808,93.88
32.810,94.14
32.811,94.40
32.814,94.65
32.816,94.91
32.816,95.17
32.875,95.43
32.875,95.69
32.875,95.95
32.875,96.20
32.876,96.46
32.877,96.72
32.878,96.98
32.883,97.24
32.884,97.50
32.884,97.76
32.884,98.02
32.884,98.29
32.887,104.64
32.889,104.91
32.893,105.18
32.894,105.45
32.895,105.72
32.952,105.99
32.954,106.27
32.954,106.54
32.954,106.81
32.955,107.09
32.960,107.36
32.963,107.63
32.963,107.91
32.963,108.18
32.963,108.46
32.965,115.39
32.968,115.67
32.972,115.95
32.972,116.24
32.975,116.52
32.979,116.81
32.980,117.09
33.039,117.38
33.040,117.66
33.040,118.09
33.041,118.38
33.042,118.67
33.042,118.96
33.042,119.25
33.042,119.39
33.042,119.68
33.044,127.12
33.046,127.42
33.050,127.71
33.051,128.01
33.051,128.31
33.056,128.61
33.058,128.91
33.058,129.21
33.062,129.50
33.064,129.80
33.066,130.10
33.068,130.41
33.070,130.71
33.072,131.01
33.073,131.31
33.076,131.61
33.078,131.92
33.078,132.22
33.082,132.52
33.083,132.83
33.085,133.28
33.088,133.59
33.092,133.89
33.093,134.20
33.093,134.50
33.096,134.81
33.096,135.12
33.099,135.42
33.100,135.73
33.104,136.04
33.105,136.34
33.108,136.65
33.110,136.96
33.111,137.27
33.114,137.58
33.118,137.88
33.120,138.19
33.120,138.51
33.122,138.82
33.124,139.13
33.125,139.44
33.128,139.75
33.131,140.06
33.133,140.37
33.133,140.69
33.135,141.00
33.138,141.31
33.139,141.63
33.142,141.94
33.144,142.25
33.146,142.57
33.154,143.04
33.155,143.35
33.157,143.67
33.157,143.98
33.157,144.30
33.157,144.62
33.187,144.93
33.187,145.25
33.189,145.57
33.189,145.89
33.191,146.20
33.192,146.52
33.194,146.84
33.198,147.16
33.250,147.48
33.250,147.80
33.250,148.12
33.250,148.44
33.250,148.76
33.252,151.67
33.252,152.00
33.253,152.32
33.258,152.64
33.259,152.97
33.259,153.29
33.259,153.62
33.259,153.95
33.261,161.58
33.268,161.91
33.270,162.25
33.270,162.58
33.271,162.91
33.364,163.24
33.364,163.58
33.514,163.91
33.514,164.25
33.514,164.58
33.516,164.91
33.516,165.25
33.516,165.59
33.516,165.92
33.516,166.26
33.516,206.82
33.519,207.18
33.520,207.54
33.523,207.90
33.526,208.26
33.526,208.62
33.530,208.98
33.532,209.34
33.532,209.70
33.534,210.06
33.596,210.43
33.596,210.79
33.596,211.15
33.597,211.51
33.598,211.88
33.598,212.42
33.604,212.78
33.614,213.14
33.614,213.51
33.614,213.87
33.614,214.23
33.614,214.59
33.615,223.75
33.618,224.11
33.619,224.48
33.625,224.85
33.625,225.21
33.625,225.58
33.625,225.95
33.625,226.31
33.631,227.23
33.647,227.60
33.648,227.96
33.649,228.33
33.663,228.70
33.665,229.07
33.666,229.43
33.679,229.80
33.682,230.17
33.691,230.54
33.691,230.91
33.691,231.27
33.691,231.64
33.691,232.01
33.691,238.10
33.693,238.46
33.694,238.83
33.699,239.20
33.702,239.57
33.702,239.94
33.702,240.31
33.702,240.68
33.706,241.05
33.706,241.42
33.709,241.97
33.710,242.34
33.710,242.71
33.713,243.08
33.714,243.45
33.718,243.82
33.720,244.19
33.723,244.56
33.724,244.93
33.724,245.29
33.728,245.66
33.728,246.03
33.733,246.40
33.733,246.77
33.736,247.14
33.738,247.51
33.739,247.89
33.743,248.26
33.746,248.63
33.747,249.00
33.748,249.37
33.752,249.73
33.752,250.10
33.753,250.47
33.756,250.84
33.758,251.21
33.759,251.58
33.763,251.95
33.764,252.32
33.768,252.69
33.769,253.06
33.769,253.43
33.773,253.99
33.777,254.36
33.777,254.73
33.778,255.10
33.782,255.48
33.783,255.85
33.784,256.22
33.788,256.59
33.790,256.96
33.791,257.33
33.791,257.70
33.795,258.07
33.797,258.44
33.813,258.81
33.813,259.18
33.814,259.55
33.828,259.92
33.830,260.29
33.830,260.67
33.830,261.04
33.830,261.41
33.830,261.78
33.837,262.53
33.852,262.90
33.853,263.27
33.870,263.64
33.870,264.01
33.870,264.38
33.870,264.75
33.870,265.12
33.873,267.35
33.877,267.72
33.878,268.09
33.883,268.47
33.883,268.84
33.883,269.21
33.883,269.58
33.883,269.95
33.885,274.96
33.887,275.34
33.893,275.71
33.893,276.08
33.894,276.45
33.896,276.82
33.898,277.19
33.900,277.56
33.904,277.93
33.906,278.30
33.906,278.67
33.908,279.04
33.910,279.60
33.911,279.97
33.915,280.34
33.918,280.71
33.919,281.08
33.919,281.45
33.922,281.83
33.924,282.20
33.925,282.57
33.929,282.94
33.932,283.31
33.933,283.68
33.935,284.05
33.943,284.42
33.943,284.80
33.943,285.17
33.946,285.54
33.946,285.91
33.947,286.27
33.954,286.64
33.955,287.01
33.955,287.38
33.956,287.76
33.958,288.13
33.959,288.50
33.967,288.87
33.967,289.24
33.968,289.61
33.968,289.98
33.971,290.35
33.971,290.72
33.973,291.28
34.254,291.65
34.254,292.02
34.258,292.39
34.258,292.76
34.258,293.13
34.402,293.49
34.402,293.86
34.402,294.23
34.403,294.60
34.405,294.97
34.407,295.35
34.407,295.72
34.407,296.09
34.407,296.46
34.407,296.83
34.407,297.20
34.407,297.57
